county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,115 S Richland HD62,Secretary of State,,,Write-in,0,0,0,0
Rankin,115 S Richland HD60,Attorney General,,DEM,Jim Hood ,6,6,0,0
Rankin,115 S Richland HD60,Attorney General,,REP,Mike Hurst ,3,3,0,0
Rankin,115 S Richland HD60,Attorney General,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,Attorney General,,DEM,Jim Hood ,335,326,8,1
Rankin,115 S Richland HD62,Attorney General,,REP,Mike Hurst ,591,579,10,2
Rankin,115 S Richland HD62,Attorney General,,,Write-in,0,0,0,0
Rankin,115 S Richland HD60,State Auditor,,REP,Stacey E. Pickering ,6,6,0,0
Rankin,115 S Richland HD60,State Auditor,,DEM,Jocelyn  Pepper Pritchett,3,3,0,0
Rankin,115 S Richland HD60,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,115 S Richland HD60,State Auditor,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,State Auditor,,REP,Stacey E. Pickering ,769,751,16,2
Rankin,115 S Richland HD62,State Auditor,,DEM,Jocelyn  Pepper Pritchett,146,143,2,1
Rankin,115 S Richland HD62,State Auditor,,REF,Lajena Walley ,8,8,0,0
Rankin,115 S Richland HD62,State Auditor,,,Write-in,0,0,0,0
Rankin,115 S Richland HD60,State Treasurer,,REP,Lynn Fitch ,7,7,0,0
Rankin,115 S Richland HD60,State Treasurer,,REF,Viola V. McFarland ,2,2,0,0
Rankin,115 S Richland HD60,State Treasurer,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,State Treasurer,,REP,Lynn Fitch ,825,807,16,2
Rankin,115 S Richland HD62,State Treasurer,,REF,Viola V. McFarland ,82,80,1,1
Rankin,115 S Richland HD62,State Treasurer,,,Write-in,0,0,0,0
Rankin,115 S Richland HD60,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,2,2,0,0
Rankin,115 S Richland HD60,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,6,6,0,0
Rankin,115 S Richland HD60,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,115 S Richland HD60,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,144,141,2,1
Rankin,115 S Richland HD62,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,763,745,16,2
Rankin,115 S Richland HD62,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,16,16,0,0
Rankin,115 S Richland HD62,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,115 S Richland HD60,Commissioner of Insurance,,REP,Mike Chaney ,9,9,0,0
Rankin,115 S Richland HD60,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,Commissioner of Insurance,,REP,Mike Chaney ,875,856,17,2
Rankin,115 S Richland HD62,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,115 S Richland,State Senate,30,REP,Dean Kirby ,116,115,1,0
Rankin,115 S Richland,State Senate,30,,Write-in,0,0,0,0
Rankin,115 S Richland,State Senate,35,REP,Chris Caughman ,755,737,16,2
Rankin,115 S Richland,State Senate,35,,Write-in,1,1,0,0
Rankin,115 S Richland HD60,State House,60,REP,John L. Moore ,9,9,0,0
Rankin,115 S Richland HD60,State House,60,,Write-in,0,0,0,0
Rankin,115 S Richland HD62,State House,62,REP,Tom Weathersby ,744,726,16,2
Rankin,115 S Richland HD62,State House,62,DEM,Stephen Wilson ,175,172,2,1
Rankin,115 S Richland HD62,State House,62,,Write-in,1,1,0,0
Rankin,116 Star,Voters,,,BALLOTS CAST,426,422,4,0
Rankin,116 Star,Governor,,REP,Phil Bryant ,342,338,4,0
Rankin,116 Star,Governor,,DEM,Robert Gray ,80,80,0,0
Rankin,116 Star,Governor,,REF,Shawn O'Hara ,2,2,0,0
Rankin,116 Star,Governor,,,Write-in,1,1,0,0
Rankin,116 Star,Lieutenant Governor,,DEM,Tim Johnson ,80,79,1,0
Rankin,116 Star,Lieutenant Governor,,REP,Tate Reeves ,322,319,3,0
Rankin,116 Star,Lieutenant Governor,,LIB,Ron Williams ,12,12,0,0
Rankin,116 Star,Lieutenant Governor,,REF,Rosa B. Williams ,5,5,0,0
Rankin,116 Star,Lieutenant Governor,,,Write-in,2,2,0,0
Rankin,116 Star,Secretary of State,,DEM,Charles E. Graham ,69,68,1,0
Rankin,116 Star,Secretary of State,,REP,Delbert Hosemann ,344,341,3,0
Rankin,116 Star,Secretary of State,,REF,Randy Walker ,11,11,0,0
Rankin,116 Star,Secretary of State,,,Write-in,0,0,0,0
Rankin,116 Star,Attorney General,,DEM,Jim Hood ,144,143,1,0
Rankin,116 Star,Attorney General,,REP,Mike Hurst ,279,276,3,0
Rankin,116 Star,Attorney General,,,Write-in,0,0,0,0
Rankin,116 Star,State Auditor,,REP,Stacey E. Pickering ,347,344,3,0
Rankin,116 Star,State Auditor,,DEM,Jocelyn  Pepper Pritchett,75,74,1,0
Rankin,116 Star,State Auditor,,REF,Lajena Walley ,2,2,0,0
Rankin,116 Star,State Auditor,,,Write-in,0,0,0,0
Rankin,116 Star,State Treasurer,,REP,Lynn Fitch ,370,366,4,0
Rankin,116 Star,State Treasurer,,REF,Viola V. McFarland ,38,38,0,0
Rankin,116 Star,State Treasurer,,,Write-in,1,1,0,0
Rankin,116 Star,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,75,74,1,0
Rankin,116 Star,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,344,341,3,0
Rankin,116 Star,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,4,4,0,0
Rankin,116 Star,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,116 Star,Commissioner of Insurance,,REP,Mike Chaney ,387,383,4,0
Rankin,116 Star,Commissioner of Insurance,,,Write-in,4,4,0,0
Rankin,116 Star,State Senate,35,REP,Chris Caughman ,384,380,4,0
Rankin,116 Star,State Senate,35,,Write-in,5,5,0,0
Rankin,116 Star,State House,62,REP,Tom Weathersby ,331,327,4,0
Rankin,116 Star,State House,62,DEM,Stephen Wilson ,88,88,0,0
Rankin,116 Star,State House,62,,Write-in,4,4,0,0
Rankin,118 W Steen Creek,Voters,,,BALLOTS CAST,857,835,14,8
Rankin,118 W Steen Creek,Governor,,REP,Phil Bryant ,715,696,12,7
Rankin,118 W Steen Creek,Governor,,DEM,Robert Gray ,131,129,1,1
Rankin,118 W Steen Creek,Governor,,REF,Shawn O'Hara ,8,8,0,0
Rankin,118 W Steen Creek,Governor,,,Write-in,2,1,1,0
Rankin,118 W Steen Creek,Lieutenant Governor,,DEM,Tim Johnson ,143,140,2,1
Rankin,118 W Steen Creek,Lieutenant Governor,,REP,Tate Reeves ,671,652,12,7
Rankin,118 W Steen Creek,Lieutenant Governor,,LIB,Ron Williams ,29,29,0,0
Rankin,118 W Steen Creek,Lieutenant Governor,,REF,Rosa B. Williams ,8,8,0,0
Rankin,118 W Steen Creek,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,118 W Steen Creek,Secretary of State,,DEM,Charles E. Graham ,125,122,2,1
Rankin,118 W Steen Creek,Secretary of State,,REP,Delbert Hosemann ,708,689,12,7
Rankin,118 W Steen Creek,Secretary of State,,REF,Randy Walker ,15,15,0,0
Rankin,118 W Steen Creek,Secretary of State,,,Write-in,0,0,0,0
Rankin,118 W Steen Creek,Attorney General,,DEM,Jim Hood ,340,332,6,2
Rankin,118 W Steen Creek,Attorney General,,REP,Mike Hurst ,512,498,8,6
Rankin,118 W Steen Creek,Attorney General,,,Write-in,0,0,0,0
Rankin,118 W Steen Creek,State Auditor,,REP,Stacey E. Pickering ,702,683,12,7
Rankin,118 W Steen Creek,State Auditor,,DEM,Jocelyn  Pepper Pritchett,138,135,2,1
Rankin,118 W Steen Creek,State Auditor,,REF,Lajena Walley ,10,10,0,0
Rankin,118 W Steen Creek,State Auditor,,,Write-in,1,1,0,0
Rankin,118 W Steen Creek,State Treasurer,,REP,Lynn Fitch ,746,724,14,8
Rankin,118 W Steen Creek,State Treasurer,,REF,Viola V. McFarland ,68,68,0,0
Rankin,118 W Steen Creek,State Treasurer,,,Write-in,7,7,0,0
Rankin,118 W Steen Creek,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,124,122,1,1
Rankin,118 W Steen Creek,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,713,693,13,7
Rankin,118 W Steen Creek,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,14,14,0,0
Rankin,118 W Steen Creek,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,118 W Steen Creek,Commissioner of Insurance,,REP,Mike Chaney ,797,775,14,8
Rankin,118 W Steen Creek,Commissioner of Insurance,,,Write-in,8,8,0,0
Rankin,118 W Steen Creek,State Senate,35,REP,Chris Caughman ,784,763,14,7
Rankin,118 W Steen Creek,State Senate,35,,Write-in,7,7,0,0
Rankin,118 W Steen Creek,State House,62,REP,Tom Weathersby ,689,670,12,7
Rankin,118 W Steen Creek,State House,62,DEM,Stephen Wilson ,150,147,2,1
Rankin,118 W Steen Creek,State House,62,,Write-in,4,4,0,0
Rankin,119 Briar Hill,Voters,,,BALLOTS CAST,350,340,9,1
Rankin,119 Briar Hill,Governor,,REP,Phil Bryant ,245,237,7,1
Rankin,119 Briar Hill,Governor,,DEM,Robert Gray ,98,97,1,0
Rankin,119 Briar Hill,Governor,,REF,Shawn O'Hara ,3,2,1,0
Rankin,119 Briar Hill,Governor,,,Write-in,0,0,0,0
Rankin,119 Briar Hill,Lieutenant Governor,,DEM,Tim Johnson ,93,92,1,0
Rankin,119 Briar Hill,Lieutenant Governor,,REP,Tate Reeves ,241,233,7,1
Rankin,119 Briar Hill,Lieutenant Governor,,LIB,Ron Williams,5,5,0,0
Rankin,119 Briar Hill,Lieutenant Governor,,REF,Rosa B. Williams ,3,2,1,0
Rankin,119 Briar Hill,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,119 Briar Hill,Secretary of State,,DEM,Charles E. Graham ,96,94,2,0
Rankin,119 Briar Hill,Secretary of State,,REP,Delbert Hosemann ,245,238,6,1
Rankin,119 Briar Hill,Secretary of State,,REF,Randy Walker ,6,5,1,0
Rankin,119 Briar Hill,Secretary of State,,,Write-in,0,0,0,0
Rankin,119 Briar Hill,Attorney General,,DEM,Jim Hood ,171,165,5,1
Rankin,119 Briar Hill,Attorney General,,REP,Mike Hurst ,176,172,4,0
Rankin,119 Briar Hill,Attorney General,,,Write-in,0,0,0,0
Rankin,119 Briar Hill,State Auditor,,REP,Stacey E. Pickering ,248,239,8,1
Rankin,119 Briar Hill,State Auditor,,DEM,Jocelyn  Pepper Pritchett,93,92,1,0
Rankin,119 Briar Hill,State Auditor,,REF,Lajena Walley ,3,3,0,0
Rankin,119 Briar Hill,State Auditor,,,Write-in,1,1,0,0
Rankin,119 Briar Hill,State Treasurer,,REP,Lynn Fitch ,285,278,6,1
Rankin,119 Briar Hill,State Treasurer,,REF,Viola V. McFarland ,40,37,3,0
Rankin,119 Briar Hill,State Treasurer,,,Write-in,0,0,0,0
Rankin,119 Briar Hill,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,93,91,2,0
Rankin,119 Briar Hill,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,247,239,7,1
Rankin,119 Briar Hill,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,6,6,0,0
Rankin,119 Briar Hill,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,119 Briar Hill,Commissioner of Insurance,,REP,Mike Chaney ,302,293,8,1
Rankin,119 Briar Hill,Commissioner of Insurance,,,Write-in,1,1,0,0
Rankin,119 Briar Hill,State Senate,35,REP,Chris Caughman ,291,282,8,1
Rankin,119 Briar Hill,State Senate,35,,Write-in,1,1,0,0
Rankin,119 Briar Hill,State House,60,REP,John L. Moore ,293,284,8,1
Rankin,119 Briar Hill,State House,60,,Write-in,0,0,0,0
Rankin,209 Grant's Ferry,Voters,,,BALLOTS CAST,"1,056","1,020",21,15
Rankin,209 Grant's Ferry,Governor,,REP,Phil Bryant ,845,818,17,10
Rankin,209 Grant's Ferry,Governor,,DEM,Robert Gray ,180,173,2,5
Rankin,209 Grant's Ferry,Governor,,REF,Shawn O'Hara ,17,15,2,0
Rankin,209 Grant's Ferry,Governor,,,Write-in,2,2,0,0
Rankin,209 Grant's Ferry,Lieutenant Governor,,DEM,Tim Johnson ,226,215,7,4
Rankin,209 Grant's Ferry,Lieutenant Governor,,REP,Tate Reeves ,779,756,13,10
Rankin,209 Grant's Ferry,Lieutenant Governor,,LIB,Ron Williams,36,35,0,1
Rankin,209 Grant's Ferry,Lieutenant Governor,,REF,Rosa B. Williams ,7,6,1,0
Rankin,209 Grant's Ferry,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,209 Grant's Ferry,Secretary of State,,DEM,Charles E. Graham ,177,170,2,5
Rankin,209 Grant's Ferry,Secretary of State,,REP,Delbert Hosemann ,849,821,18,10
Rankin,209 Grant's Ferry,Secretary of State,,REF,Randy Walker ,22,21,1,0
Rankin,209 Grant's Ferry,Secretary of State,,,Write-in,0,0,0,0
Rankin,209 Grant's Ferry,Attorney General,,DEM,Jim Hood ,396,379,10,7
Rankin,209 Grant's Ferry,Attorney General,,REP,Mike Hurst ,655,636,11,8
Rankin,209 Grant's Ferry,Attorney General,,,Write-in,0,0,0,0
Rankin,209 Grant's Ferry,State Auditor,,REP,Stacey E. Pickering ,836,811,15,10
Rankin,209 Grant's Ferry,State Auditor,,DEM,Jocelyn  Pepper Pritchett ,196,186,5,5
Rankin,209 Grant's Ferry,State Auditor,,REF,Lajena Walley ,10,10,0,0
Rankin,209 Grant's Ferry,State Auditor,,,Write-in,1,1,0,0
Rankin,209 Grant's Ferry,State Treasurer,,REP,Lynn Fitch ,907,877,19,11
Rankin,209 Grant's Ferry,State Treasurer,,DEM,Viola V. McFarland ,97,93,2,2
Rankin,209 Grant's Ferry,State Treasurer,,,Write-in,3,2,0,1
Rankin,209 Grant's Ferry,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,158,149,4,5
Rankin,209 Grant's Ferry,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,853,827,16,10
Rankin,209 Grant's Ferry,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,24,23,1,0
Rankin,209 Grant's Ferry,Commissioner of Agriculture & Commerce,,,Write-in,3,3,0,0
Rankin,209 Grant's Ferry,Commissioner of Insurance,,REP,Mike Chaney ,971,939,19,13
Rankin,209 Grant's Ferry,Commissioner of Insurance,,,Write-in,9,8,0,1
Rankin,209 Grant's Ferry,State Senate,20,REP,Josh Harkins ,946,913,20,13
Rankin,209 Grant's Ferry,State Senate,20,,Write-in,7,7,0,0
Rankin,209 Grant's Ferry,State House,59,REP,Brent Powell ,937,904,20,13
Rankin,209 Grant's Ferry,State House,59,,Write-in,6,6,0,0
Rankin,212 Fannin,Voters,,,BALLOTS CAST,811,756,27,28
Rankin,212 Fannin HD59,Governor,,REP,Phil Bryant ,293,275,9,9
Rankin,212 Fannin HD59,Governor,,DEM,Robert Gray ,61,54,0,7
Rankin,212 Fannin HD59,Governor,,REF,Shawn O'Hara ,5,4,1,0
Rankin,212 Fannin HD59,Governor,,,Write-in,3,3,0,0
Rankin,212 Fannin HD75,Governor,,REP,Phil Bryant ,346,322,14,10
Rankin,212 Fannin HD75,Governor,,DEM,Robert Gray ,93,88,3,2
Rankin,212 Fannin HD75,Governor,,REF,Shawn O'Hara ,4,4,0,0
Rankin,212 Fannin HD75,Governor,,,Write-in,0,0,0,0
Rankin,212 Fannin HD59,Lieutenant Governor,,DEM,Tim Johnson ,67,58,1,8
Rankin,212 Fannin HD59,Lieutenant Governor,,REP,Tate Reeves ,283,267,9,7
Rankin,212 Fannin HD59,Lieutenant Governor,,LIB,Ron Williams ,9,8,0,1
Rankin,212 Fannin HD59,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,212 Fannin HD59,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,212 Fannin HD75,Lieutenant Governor,,DEM,Tim Johnson ,104,97,4,3
Rankin,212 Fannin HD75,Lieutenant Governor,,REP,Tate Reeves ,329,308,12,9
Rankin,212 Fannin HD75,Lieutenant Governor,,LIB,Ron Williams ,7,7,0,0
Rankin,212 Fannin HD75,Lieutenant Governor,,REF,Rosa B. Williams ,1,0,1,0
Rankin,212 Fannin HD75,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,212 Fannin HD59,Secretary of State,,DEM,Charles E. Graham ,51,43,1,7
Rankin,212 Fannin HD59,Secretary of State,,REP,Delbert Hosemann ,308,290,9,9
Rankin,212 Fannin HD59,Secretary of State,,REF,Randy Walker ,3,3,0,0
Rankin,212 Fannin HD59,Secretary of State,,,Write-in,0,0,0,0
Rankin,212 Fannin HD75,Secretary of State,,DEM,Charles E. Graham ,94,89,3,2
Rankin,212 Fannin HD75,Secretary of State,,REP,Delbert Hosemann ,337,314,14,9
Rankin,212 Fannin HD75,Secretary of State,,REF,Randy Walker ,12,11,0,1
Rankin,212 Fannin HD75,Secretary of State,,,Write-in,0,0,0,0
Rankin,212 Fannin HD59,Attorney General,,DEM,Jim Hood ,115,104,1,10
Rankin,212 Fannin HD59,Attorney General,,REP,Mike Hurst ,249,234,9,6
Rankin,212 Fannin HD59,Attorney General,,,Write-in,0,0,0,0
Rankin,212 Fannin HD75,Attorney General,,DEM,Jim Hood ,173,159,9,5
Rankin,212 Fannin HD75,Attorney General,,REP,Mike Hurst ,270,256,7,7
Rankin,212 Fannin HD75,Attorney General,,,Write-in,0,0,0,0
Rankin,212 Fannin HD59,State Auditor,,REP,Stacey E. Pickering ,294,277,9,8
Rankin,212 Fannin HD59,State Auditor,,DEM,Jocelyn  Pepper Pritchett,65,56,1,8
Rankin,212 Fannin HD59,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,212 Fannin HD59,State Auditor,,,Write-in,0,0,0,0
Rankin,212 Fannin HD75,State Auditor,,REP,Stacey E. Pickering ,342,320,13,9
Rankin,212 Fannin HD75,State Auditor,,DEM,Jocelyn  Pepper Pritchett,96,90,3,3
Rankin,212 Fannin HD75,State Auditor,,REF,Lajena Walley ,5,4,1,0
Rankin,212 Fannin HD75,State Auditor,,,Write-in,0,0,0,0
Rankin,212 Fannin HD59,State Treasurer,,REP,Lynn Fitch ,324,302,10,12
Rankin,212 Fannin HD59,State Treasurer,,REF,Viola V. McFarland ,21,20,0,1
Rankin,212 Fannin HD59,State Treasurer,,,Write-in,3,3,0,0
Rankin,212 Fannin HD75,State Treasurer,,REP,Lynn Fitch ,365,341,14,10
Rankin,212 Fannin HD75,State Treasurer,,REF,Viola V. McFarland ,48,44,3,1
Rankin,212 Fannin HD75,State Treasurer,,,Write-in,1,0,0,1
Rankin,212 Fannin HD59,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,53,42,3,8
Rankin,212 Fannin HD59,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,302,287,7,8
Rankin,212 Fannin HD59,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,3,3,0,0
Rankin,212 Fannin HD59,Commissioner of Agriculture & Commerce,,,Write-in,2,2,0,0
Rankin,212 Fannin HD75,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,92,87,3,2
Rankin,212 Fannin HD75,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,347,324,13,10
Rankin,212 Fannin HD75,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,4,3,1,0
Rankin,212 Fannin HD75,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,212 Fannin HD59,Commissioner of Insurance,,REP,Mike Chaney ,325,303,9,13
Rankin,212 Fannin HD59,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,212 Fannin HD75,Commissioner of Insurance,,REP,Mike Chaney ,371,348,15,8
Rankin,212 Fannin HD75,Commissioner of Insurance,,,Write-in,4,3,0,1
Rankin,212 Fannin,State Senate,20,REP,Josh Harkins ,687,646,22,19
Rankin,212 Fannin,State Senate,20,,Write-in,6,4,0,2
Rankin,212 Fannin,State House,59,REP,Brent Powell ,310,291,8,11
Rankin,212 Fannin,State House,59,,Write-in,4,4,0,0
Rankin,212 Fannin,State House,75,REP,Vance Cox ,311,290,14,7
Rankin,212 Fannin,State House,75,DEM,Tom Miles ,126,119,3,4
Rankin,212 Fannin,State House,75,,Write-in,0,0,0,0
Rankin,215 Castlewoods E,Voters,,,BALLOTS CAST,"1,122","1,076",28,18
Rankin,215 Castlewoods E,Governor,,REP,Phil Bryant ,965,926,25,14
Rankin,215 Castlewoods E,Governor,,DEM,Robert Gray ,128,122,2,4
Rankin,215 Castlewoods E,Governor,,REF,Shawn O'Hara ,17,17,0,0
Rankin,215 Castlewoods E,Governor,,,Write-in,2,2,0,0
Rankin,215 Castlewoods E,Lieutenant Governor,,DEM,Tim Johnson ,170,160,5,5
Rankin,215 Castlewoods E,Lieutenant Governor,,REP,Tate Reeves ,896,861,22,13
Rankin,215 Castlewoods E,Lieutenant Governor,,LIB,Ron Williams ,33,33,0,0
Rankin,215 Castlewoods E,Lieutenant Governor,,REF,Rosa B. Williams ,10,10,0,0
Rankin,215 Castlewoods E,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,215 Castlewoods E,Secretary of State,,DEM,Charles E. Graham ,118,112,1,5
Rankin,215 Castlewoods E,Secretary of State,,REP,Delbert Hosemann ,979,939,27,13
Rankin,215 Castlewoods E,Secretary of State,,REF,Randy Walker ,16,16,0,0
Rankin,215 Castlewoods E,Secretary of State,,,Write-in,1,1,0,0
Rankin,215 Castlewoods E,Attorney General,,DEM,Jim Hood ,339,320,11,8
Rankin,215 Castlewoods E,Attorney General,,REP,Mike Hurst ,773,746,17,10
Rankin,215 Castlewoods E,Attorney General,,,Write-in,3,3,0,0
Rankin,215 Castlewoods E,State Auditor,,REP,Stacey E. Pickering ,951,912,26,13
Rankin,215 Castlewoods E,State Auditor,,DEM,Jocelyn  Pepper Pritchett,147,140,2,5
Rankin,215 Castlewoods E,State Auditor,,REF,Lajena Walley ,10,10,0,0
Rankin,215 Castlewoods E,State Auditor,,,Write-in,1,1,0,0
Rankin,215 Castlewoods E,State Treasurer,,REP,Lynn Fitch ,"1,009",965,27,17
Rankin,215 Castlewoods E,State Treasurer,,REF,Viola V. McFarland ,69,68,1,0
Rankin,215 Castlewoods E,State Treasurer,,,Write-in,1,1,0,0
Rankin,215 Castlewoods E,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,125,117,5,3
Rankin,215 Castlewoods E,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,967,930,23,14
Rankin,215 Castlewoods E,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,15,15,0,0
Rankin,215 Castlewoods E,Commissioner of Agriculture & Commerce,,,Write-in,2,2,0,0
Rankin,215 Castlewoods E,Commissioner of Insurance,,REP,Mike Chaney ,"1,038",994,28,16
Rankin,215 Castlewoods E,Commissioner of Insurance,,,Write-in,9,9,0,0
Rankin,215 Castlewoods E,State Senate,20,REP,Josh Harkins ,"1,035",993,26,16
Rankin,215 Castlewoods E,State Senate,20,,Write-in,8,7,1,0
Rankin,215 Castlewoods E,State House,74,REP,Mark Baker ,"1,014",972,26,16
Rankin,215 Castlewoods E,State House,74,,Write-in,9,8,1,0
Rankin,216 Castlewoods W,Voters,,,BALLOTS CAST,"1,251","1,188",35,28
Rankin,216 Castlewoods W HD59,Governor,,REP,Phil Bryant ,634,606,12,16
Rankin,216 Castlewoods W HD59,Governor,,DEM,Robert Gray ,145,136,4,5
Rankin,216 Castlewoods W HD59,Governor,,REF,Shawn O'Hara ,21,21,0,0
Rankin,216 Castlewoods W HD59,Governor,,,Write-in,4,4,0,0
Rankin,216 Castlewoods W HD74,Governor,,REP,Phil Bryant ,375,351,17,7
Rankin,216 Castlewoods W HD74,Governor,,DEM,Robert Gray ,50,50,0,0
Rankin,216 Castlewoods W HD74,Governor,,REF,Shawn O'Hara ,4,4,0,0
Rankin,216 Castlewoods W HD74,Governor,,,Write-in,3,3,0,0
Rankin,216 Castlewoods W HD59,Lieutenant Governor,,DEM,Tim Johnson ,178,168,5,5
Rankin,216 Castlewoods W HD59,Lieutenant Governor,,REP,Tate Reeves ,602,574,12,16
Rankin,216 Castlewoods W HD59,Lieutenant Governor,,LIB,Ron Williams ,18,17,1,0
Rankin,216 Castlewoods W HD59,Lieutenant Governor,,REF,Rosa B. Williams ,10,10,0,0
Rankin,216 Castlewoods W HD59,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,216 Castlewoods W HD74,Lieutenant Governor,,DEM,Tim Johnson ,61,61,0,0
Rankin,216 Castlewoods W HD74,Lieutenant Governor,,REP,Tate Reeves ,353,329,17,7
Rankin,216 Castlewoods W HD74,Lieutenant Governor,,LIB,Ron Williams ,18,18,0,0
Rankin,216 Castlewoods W HD74,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,216 Castlewoods W HD74,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,216 Castlewoods W HD59,Secretary of State,,DEM,Charles E. Graham ,133,124,4,5
Rankin,216 Castlewoods W HD59,Secretary of State,,REP,Delbert Hosemann ,664,637,12,15
Rankin,216 Castlewoods W HD59,Secretary of State,,REF,Randy Walker ,11,9,2,0
Rankin,216 Castlewoods W HD59,Secretary of State,,,Write-in,0,0,0,0
Rankin,216 Castlewoods W HD74,Secretary of State,,DEM,Charles E. Graham ,42,42,0,0
Rankin,216 Castlewoods W HD74,Secretary of State,,REP,Delbert Hosemann ,380,357,17,6
Rankin,216 Castlewoods W HD74,Secretary of State,,REF,Randy Walker ,8,8,0,0
Rankin,216 Castlewoods W HD74,Secretary of State,,,Write-in,0,0,0,0
Rankin,216 Castlewoods W HD59,Attorney General,,DEM,Jim Hood ,305,293,6,6
Rankin,216 Castlewoods W HD59,Attorney General,,REP,Mike Hurst ,506,480,12,14
Rankin,216 Castlewoods W HD59,Attorney General,,,Write-in,1,1,0,0
Rankin,216 Castlewoods W HD74,Attorney General,,DEM,Jim Hood ,138,132,5,1
Rankin,216 Castlewoods W HD74,Attorney General,,REP,Mike Hurst ,298,280,12,6
Rankin,216 Castlewoods W HD74,Attorney General,,,Write-in,0,0,0,0
Rankin,216 Castlewoods W HD59,State Auditor,,REP,Stacey E. Pickering ,639,611,12,16
Rankin,216 Castlewoods W HD59,State Auditor,,DEM,Jocelyn  Pepper Pritchett,162,152,5,5
Rankin,216 Castlewoods W HD59,State Auditor,,REF,Lajena Walley ,5,5,0,0
Rankin,216 Castlewoods W HD59,State Auditor,,,Write-in,0,0,0,0
Rankin,216 Castlewoods W HD74,State Auditor,,REP,Stacey E. Pickering ,374,351,16,7
Rankin,216 Castlewoods W HD74,State Auditor,,DEM,Jocelyn  Pepper Pritchett,58,57,1,0
Rankin,216 Castlewoods W HD74,State Auditor,,REF,Lajena Walley ,2,2,0,0
Rankin,216 Castlewoods W HD74,State Auditor,,,Write-in,1,1,0,0
Rankin,216 Castlewoods W HD59,State Treasurer,,REP,Lynn Fitch ,700,666,16,18
Rankin,216 Castlewoods W HD59,State Treasurer,,REF,Viola V. McFarland ,79,77,1,1
Rankin,216 Castlewoods W HD59,State Treasurer,,,Write-in,5,5,0,0
Rankin,216 Castlewoods W HD74,State Treasurer,,REP,Lynn Fitch ,394,373,15,6
