county,precinct,office,district,party,candidate,vote,winner
Simpson,Bowie,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,140,1
Simpson,Bowie,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,4,
Simpson,Braxton,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,20,
Simpson,Braxton,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,451,1
Simpson,Braxton,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Simpson,Brldgeport,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,135,1
Simpson,Brldgeport,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,98,
Simpson,Brldgeport,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,1,
Simpson,D'Lo,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,17,
Simpson,D'Lo,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,190,1
Simpson,D'Lo,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,1,
Simpson,Dry Creek,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,38,
Simpson,Dry Creek,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,395,1
Simpson,Dry Creek,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,1,
Simpson,Fork Church,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,135,1
Simpson,Fork Church,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,82,
Simpson,Fork Church,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Simpson,Harrisville,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,56,
Simpson,Harrisville,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,378,1
Simpson,Harrisville,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,7,
Simpson,Jupiter,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,263,1
Simpson,Jupiter,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,109,
Simpson,Jupiter,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Simpson,Magee 1,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,267,1
Simpson,Magee 1,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,68,
Simpson,Magee 1,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Simpson,Magee 2,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,108,
Simpson,Magee 2,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,566,1
Simpson,Magee 2,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,13,
Simpson,Magee 4 North,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,30,
Simpson,Magee 4 North,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,264,1
Simpson,Magee 4 North,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Simpson,Magee 4 South,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,99,
Simpson,Magee 4 South,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,444,1
Simpson,Magee 4 South,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,11,
Simpson,Mendenhall 1,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,114,1
Simpson,Mendenhall 1,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,66,
Simpson,Mendenhall 1,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,4,
Simpson,Mendenhall 3,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,69,
Simpson,Mendenhall 3,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,516,1
Simpson,Mendenhall 3,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,10,
Simpson,Merit,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,26,
Simpson,Merit,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,388,1
Simpson,Merit,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Simpson,New Hope,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,57,
Simpson,New Hope,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,85,1
Simpson,New Hope,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Simpson,Oak Grove,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,150,
Simpson,Oak Grove,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,232,1
Simpson,Oak Grove,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Simpson,Pearl,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,40,
Simpson,Pearl,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,248,1
Simpson,Pearl,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,4,
Simpson,Pinola,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,63,
Simpson,Pinola,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,165,1
Simpson,Pinola,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Simpson,Saratoga,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,90,
Simpson,Saratoga,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,114,1
Simpson,Saratoga,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Simpson,Shivers,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,82,
Simpson,Shivers,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,118,1
Simpson,Shivers,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Simpson,Sumrall,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,45,
Simpson,Sumrall,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,233,1
Simpson,Sumrall,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Simpson,Weathersby,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,251,1
Simpson,Weathersby,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Simth,105,
Simpson,Weathersby,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,4,
Simpson,Bowie,State Senate,35,Republican,Chris Caughman,181,
Simpson,Braxton,State Senate,35,Republican,Chris Caughman,455,
Simpson,Brldgeport,State Senate,35,Republican,Chris Caughman,155,
Simpson,D'Lo,State Senate,35,Republican,Chris Caughman,201,
Simpson,Dry Creek,State Senate,35,Republican,Chris Caughman,416,
Simpson,Fork Church,State Senate,35,Republican,Chris Caughman,150,
Simpson,Harrisville,State Senate,35,Republican,Chris Caughman,413,
Simpson,Jupiter,State Senate,35,Republican,Chris Caughman,210,
Simpson,Magee 1,State Senate,35,Republican,Chris Caughman,227,
Simpson,Magee 2,State Senate,35,Republican,Chris Caughman,637,
Simpson,Magee 4 North,State Senate,35,Republican,Chris Caughman,289,
Simpson,Magee 4 South,State Senate,35,Republican,Chris Caughman,511,
Simpson,Mendenhall 1,State Senate,35,Republican,Chris Caughman,132,
Simpson,Mendenhall 3,State Senate,35,Republican,Chris Caughman,559,
Simpson,Merit,State Senate,35,Republican,Chris Caughman,404,
Simpson,New Hope,State Senate,35,Republican,Chris Caughman,120,
Simpson,Oak Grove,State Senate,35,Republican,Chris Caughman,297,
Simpson,Pearl,State Senate,35,Republican,Chris Caughman,254,
Simpson,Pinola,State Senate,35,Republican,Chris Caughman,190,
Simpson,Saratoga,State Senate,35,Republican,Chris Caughman,168,
Simpson,Shivers,State Senate,35,Republican,Chris Caughman,148,
Simpson,Sumrall,State Senate,35,Republican,Chris Caughman,251,
Simpson,Weathersby,State Senate,35,Republican,Chris Caughman,253,
Simpson,Pearl,State House,62,Republican,Tom Weathersby,55,
Simpson,Pearl,State House,62,Democrat,Stephen Wilson,17,
Simpson,Braxton,State House,77,Republican,Andy Gipson,462,
Simpson,D'Lo,State House,77,Republican,Andy Gipson,200,
Simpson,Harrisville,State House,77,Republican,Andy Gipson,413,
Simpson,Jupiter,State House,77,Republican,Andy Gipson,208,
Simpson,Magee 1,State House,77,Republican,Andy Gipson,215,
Simpson,Magee 2,State House,77,Republican,Andy Gipson,425,
Simpson,Magee 4 North,State House,77,Republican,Andy Gipson,284,
Simpson,Magee 4 South,State House,77,Republican,Andy Gipson,507,
Simpson,Mendenhall 1,State House,77,Republican,Andy Gipson,123,
Simpson,Mendenhall 3,State House,77,Republican,Andy Gipson,563,
Simpson,Merit,State House,77,Republican,Andy Gipson,402,
Simpson,Pearl,State House,77,Republican,Andy Gipson,197,
Simpson,Pinola,State House,77,Republican,Andy Gipson,197,
Simpson,Shivers,State House,77,Republican,Andy Gipson,59,
Simpson,Sumrall,State House,77,Republican,Andy Gipson,254,
Simpson,Weathersby,State House,77,Republican,Andy Gipson,256,
Simpson,Bowie,State House,90,Democrat,John B. Pope III,94,
Simpson,Dry Creek,State House,90,Democrat,John B. Pope III,49,
Simpson,Magee 1,State House,90,Democrat,John B. Pope III,3,
Simpson,Magee 2,State House,90,Democrat,John B. Pope III,36,
Simpson,New Hope,State House,90,Democrat,John B. Pope III,61,
Simpson,Oak Grove,State House,90,Democrat,John B. Pope III,49,
Simpson,Saratoga,State House,90,Democrat,John B. Pope III,105,
Simpson,Bowie,State House,90,Republican,Noah L. Sanford,123,
Simpson,Dry Creek,State House,90,Republican,Noah L. Sanford,386,
Simpson,Magee 1,State House,90,Republican,Noah L. Sanford,0,
Simpson,Magee 2,State House,90,Republican,Noah L. Sanford,182,
Simpson,New Hope,State House,90,Republican,Noah L. Sanford,81,
Simpson,Oak Grove,State House,90,Republican,Noah L. Sanford,102,
Simpson,Saratoga,State House,90,Republican,Noah L. Sanford,102,
Simpson,Brldgeport,State House,91,Republican,Charles E. Bufkin,75,
Simpson,Fork Church,State House,91,Republican,Charles E. Bufkin,68,
Simpson,Oak Grove,State House,91,Republican,Charles E. Bufkin,88,
Simpson,Shivers,State House,91,Republican,Charles E. Bufkin,45,
Simpson,Brldgeport,State House,91,Democrat,Bob Evans,154,
Simpson,Fork Church,State House,91,Democrat,Bob Evans,150,
Simpson,Oak Grove,State House,91,Democrat,Bob Evans,144,
Simpson,Shivers,State House,91,Democrat,Bob Evans,89,
