county,office,district,candidate,party,precinct,votes
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Elarbee,41
Stone,Transportation Commissioner,Southern,Tom King,Republican,Elarbee,270
Stone,District Attorney,2,Joel Smith,Republican,Elarbee,271
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Elarbee,266
Stone,State House,93,Tommy Ladner,Republican,Elarbee,266
Stone,State House,107,Doug McLeod,Republican,Elarbee,
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Elarbee,269
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Elarbee,253
Stone,Circuit Clerk,,Billy Allen,Independent,Elarbee,31
Stone,Coroner,,Wayne Flurry,Republican,Elarbee,267
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Elarbee,263
Stone,Sheriff,,Mike Farmer,Republican,Elarbee,263
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Elarbee,265
Stone,Supervisor,1,Clark Byrd,Republican,Elarbee,
Stone,Supervisor,2,Andy Blanchard,Democrat,Elarbee,
Stone,Supervisor,2,James Snowden,Republican,Elarbee,
Stone,Supervisor,2,Daniel E Harris,Independent,Elarbee,
Stone,Supervisor,3,Lance Peterson,Republican,Elarbee,220
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Elarbee,60
Stone,Supervisor,4,Clark Bond,Republican,Elarbee,
Stone,Supervisor,5,Nathan Joel Bond,Republican,Elarbee,
Stone,Justice Court Judge East,,Justin Miles,Republican,Elarbee,
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Elarbee,258
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Elarbee,
Stone,Constable West,,Mike Allen,Republican,Elarbee,226
Stone,Constable West,,Brandon Reid,Independent,Elarbee,54
Stone,Governor,,Jim Hood,Democrat,Tuxechana,83
Stone,Governor,,Tate Reeves,Repubilcan,Tuxechana,578
Stone,Governor,,Bob Hickingbottom,Constitution,Tuxechana,3
Stone,Governor,,David R. Singletary,Independent,Tuxechana,10
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,Tuxechana,600
Stone,Lieutenant Governor,,Jay Hugues,Democrat,Tuxechana,68
Stone,Secretary of State,,Johny DuPree,Republican,Tuxechana,67
Stone,Secretary of State,,Michael Watson,Democrat,Tuxechana,599
Stone,Attorney General,,Jennifer Riley Collins,Democrat,Tuxechana,79
Stone,Attorney General,,Lynn Fitch,Republican,Tuxechana,585
Stone,State Auditor,,Shad White,Republican,Tuxechana,618
Stone,State Treasurer,,Addie Lee Green,Democrat,Tuxechana,51
Stone,State Treasurer,,David McRae,Republican,Tuxechana,614
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Tuxechana,61
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Tuxechana,607
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,Tuxechana,61
Stone,Commissioner of Insurance,,Mike Chaney,Republican,Tuxechana,605
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,Tuxechana,581
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Tuxechana,83
Stone,Transportation Commissioner,Southern,Tom King,Republican,Tuxechana,633
Stone,District Attorney,2,Joel Smith,Republican,Tuxechana,627
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Tuxechana,630
Stone,State House,93,Tommy Ladner,Republican,Tuxechana,
Stone,State House,107,Doug McLeod,Republican,Tuxechana,613
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Tuxechana,624
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Tuxechana,502
Stone,Circuit Clerk,,Billy Allen,Independent,Tuxechana,164
Stone,Coroner,,Wayne Flurry,Republican,Tuxechana,624
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Tuxechana,617
Stone,Sheriff,,Mike Farmer,Republican,Tuxechana,629
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Tuxechana,633
Stone,Supervisor,1,Clark Byrd,Republican,Tuxechana,
Stone,Supervisor,2,Andy Blanchard,Democrat,Tuxechana,
Stone,Supervisor,2,James Snowden,Republican,Tuxechana,
Stone,Supervisor,2,Daniel E Harris,Independent,Tuxechana,
Stone,Supervisor,3,Lance Peterson,Republican,Tuxechana,
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Tuxechana,
Stone,Supervisor,4,Clark Bond,Republican,Tuxechana,634
Stone,Supervisor,5,Nathan Joel Bond,Republican,Tuxechana,
Stone,Justice Court Judge East,,Justin Miles,Republican,Tuxechana,628
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Tuxechana,
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Tuxechana,
Stone,Constable West,,Mike Allen,Republican,Tuxechana,
Stone,Constable West,,Brandon Reid,Independent,Tuxechana,
Stone,Governor,,Jim Hood,Democrat,McHenry Fire Station,118
Stone,Governor,,Tate Reeves,Repubilcan,McHenry Fire Station,248
Stone,Governor,,Bob Hickingbottom,Constitution,McHenry Fire Station,2
Stone,Governor,,David R. Singletary,Independent,McHenry Fire Station,4
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,McHenry Fire Station,274
Stone,Lieutenant Governor,,Jay Hugues,Democrat,McHenry Fire Station,94
Stone,Secretary of State,,Johny DuPree,Republican,McHenry Fire Station,90
Stone,Secretary of State,,Michael Watson,Democrat,McHenry Fire Station,276
Stone,Attorney General,,Jennifer Riley Collins,Democrat,McHenry Fire Station,111
Stone,Attorney General,,Lynn Fitch,Republican,McHenry Fire Station,257
Stone,State Auditor,,Shad White,Republican,McHenry Fire Station,324
Stone,State Treasurer,,Addie Lee Green,Democrat,McHenry Fire Station,89
Stone,State Treasurer,,David McRae,Republican,McHenry Fire Station,277
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,McHenry Fire Station,95
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,McHenry Fire Station,269
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,McHenry Fire Station,79
Stone,Commissioner of Insurance,,Mike Chaney,Republican,McHenry Fire Station,287
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,McHenry Fire Station,258
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,McHenry Fire Station,109
Stone,Transportation Commissioner,Southern,Tom King,Republican,McHenry Fire Station,328
Stone,District Attorney,2,Joel Smith,Republican,McHenry Fire Station,327
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,McHenry Fire Station,326
Stone,State House,93,Tommy Ladner,Republican,McHenry Fire Station,129
Stone,State House,107,Doug McLeod,Republican,McHenry Fire Station,191
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,McHenry Fire Station,327
Stone,Circuit Clerk,,Treba Parker Davis,Republican,McHenry Fire Station,274
Stone,Circuit Clerk,,Billy Allen,Independent,McHenry Fire Station,87
Stone,Coroner,,Wayne Flurry,Republican,McHenry Fire Station,327
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,McHenry Fire Station,320
Stone,Sheriff,,Mike Farmer,Republican,McHenry Fire Station,326
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,McHenry Fire Station,334
Stone,Supervisor,1,Clark Byrd,Republican,McHenry Fire Station,
Stone,Supervisor,2,Andy Blanchard,Democrat,McHenry Fire Station,
Stone,Supervisor,2,James Snowden,Republican,McHenry Fire Station,
Stone,Supervisor,2,Daniel E Harris,Independent,McHenry Fire Station,
Stone,Supervisor,3,Lance Peterson,Republican,McHenry Fire Station,
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,McHenry Fire Station,
Stone,Supervisor,4,Clark Bond,Republican,McHenry Fire Station,3287
Stone,Supervisor,5,Nathan Joel Bond,Republican,McHenry Fire Station,
Stone,Justice Court Judge East,,Justin Miles,Republican,McHenry Fire Station,125
Stone,Justice Court Judge West,,Ricky Farmer,Republican,McHenry Fire Station,203
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,McHenry Fire Station,126
Stone,Constable West,,Mike Allen,Republican,McHenry Fire Station,167
Stone,Constable West,,Brandon Reid,Independent,McHenry Fire Station,48
Stone,Governor,,Jim Hood,Democrat,Flint Creek,128
Stone,Governor,,Tate Reeves,Repubilcan,Flint Creek,414
Stone,Governor,,Bob Hickingbottom,Constitution,Flint Creek,1
Stone,Governor,,David R. Singletary,Independent,Flint Creek,12
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,Flint Creek,437
Stone,Lieutenant Governor,,Jay Hugues,Democrat,Flint Creek,114
Stone,Secretary of State,,Johny DuPree,Republican,Flint Creek,86
Stone,Secretary of State,,Michael Watson,Democrat,Flint Creek,457
Stone,Attorney General,,Jennifer Riley Collins,Democrat,Flint Creek,104
Stone,Attorney General,,Lynn Fitch,Republican,Flint Creek,448
Stone,State Auditor,,Shad White,Republican,Flint Creek,500
Stone,State Treasurer,,Addie Lee Green,Democrat,Flint Creek,82
Stone,State Treasurer,,David McRae,Republican,Flint Creek,465
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Flint Creek,94
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Flint Creek,455
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,Flint Creek,81
Stone,Commissioner of Insurance,,Mike Chaney,Republican,Flint Creek,470
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,Flint Creek,410
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Flint Creek,138
Stone,Transportation Commissioner,Southern,Tom King,Republican,Flint Creek,504
Stone,District Attorney,2,Joel Smith,Republican,Flint Creek,498
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Flint Creek,496
Stone,State House,93,Tommy Ladner,Republican,Flint Creek,
Stone,State House,107,Doug McLeod,Republican,Flint Creek,482
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Flint Creek,501
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Flint Creek,370
Stone,Circuit Clerk,,Billy Allen,Independent,Flint Creek,177
Stone,Coroner,,Wayne Flurry,Republican,Flint Creek,510
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Flint Creek,488
Stone,Sheriff,,Mike Farmer,Republican,Flint Creek,512
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Flint Creek,518
Stone,Supervisor,1,Clark Byrd,Republican,Flint Creek,
Stone,Supervisor,2,Andy Blanchard,Democrat,Flint Creek,
Stone,Supervisor,2,James Snowden,Republican,Flint Creek,
Stone,Supervisor,2,Daniel E Harris,Independent,Flint Creek,
Stone,Supervisor,3,Lance Peterson,Republican,Flint Creek,
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Flint Creek,
Stone,Supervisor,4,Clark Bond,Republican,Flint Creek,
Stone,Supervisor,5,Nathan Joel Bond,Republican,Flint Creek,507
Stone,Justice Court Judge East,,Justin Miles,Republican,Flint Creek,506
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Flint Creek,0
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Flint Creek,505
Stone,Constable West,,Mike Allen,Republican,Flint Creek,0
Stone,Constable West,,Brandon Reid,Independent,Flint Creek,0
Stone,Governor,,Jim Hood,Democrat,Big Level,113
Stone,Governor,,Tate Reeves,Repubilcan,Big Level,371
Stone,Governor,,Bob Hickingbottom,Constitution,Big Level,5
Stone,Governor,,David R. Singletary,Independent,Big Level,7
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,Big Level,404
Stone,Lieutenant Governor,,Jay Hugues,Democrat,Big Level,90
Stone,Secretary of State,,Johny DuPree,Republican,Big Level,70
Stone,Secretary of State,,Michael Watson,Democrat,Big Level,414
Stone,Attorney General,,Jennifer Riley Collins,Democrat,Big Level,85
Stone,Attorney General,,Lynn Fitch,Republican,Big Level,403
Stone,State Auditor,,Shad White,Republican,Big Level,429
Stone,State Treasurer,,Addie Lee Green,Democrat,Big Level,58
Stone,State Treasurer,,David McRae,Republican,Big Level,426
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Big Level,66
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Big Level,417
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,Big Level,56
Stone,Commissioner of Insurance,,Mike Chaney,Republican,Big Level,433
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,Big Level,399
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Big Level,89
Stone,Transportation Commissioner,Southern,Tom King,Republican,Big Level,445
Stone,District Attorney,2,Joel Smith,Republican,Big Level,440
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Big Level,443
Stone,State House,93,Tommy Ladner,Republican,Big Level,
Stone,State House,107,Doug McLeod,Republican,Big Level,409
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Big Level,442
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Big Level,333
Stone,Circuit Clerk,,Billy Allen,Independent,Big Level,157
Stone,Coroner,,Wayne Flurry,Republican,Big Level,435
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Big Level,431
Stone,Sheriff,,Mike Farmer,Republican,Big Level,445
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Big Level,458
Stone,Supervisor,1,Clark Byrd,Republican,Big Level,
Stone,Supervisor,2,Andy Blanchard,Democrat,Big Level,
Stone,Supervisor,2,James Snowden,Republican,Big Level,
Stone,Supervisor,2,Daniel E Harris,Independent,Big Level,
Stone,Supervisor,3,Lance Peterson,Republican,Big Level,
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Big Level,
Stone,Supervisor,4,Clark Bond,Republican,Big Level,
Stone,Supervisor,5,Nathan Joel Bond,Republican,Big Level,450
Stone,Justice Court Judge East,,Justin Miles,Republican,Big Level,444
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Big Level,
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Big Level,440
Stone,Constable West,,Mike Allen,Republican,Big Level,
Stone,Constable West,,Brandon Reid,Independent,Big Level,
Stone,Governor,,Jim Hood,Democrat,Pleasant Hill,21
Stone,Governor,,Tate Reeves,Repubilcan,Pleasant Hill,130
Stone,Governor,,Bob Hickingbottom,Constitution,Pleasant Hill,0
Stone,Governor,,David R. Singletary,Independent,Pleasant Hill,0
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,Pleasant Hill,133
Stone,Lieutenant Governor,,Jay Hugues,Democrat,Pleasant Hill,19
Stone,Secretary of State,,Johny DuPree,Republican,Pleasant Hill,21
Stone,Secretary of State,,Michael Watson,Democrat,Pleasant Hill,129
Stone,Attorney General,,Jennifer Riley Collins,Democrat,Pleasant Hill,24
Stone,Attorney General,,Lynn Fitch,Republican,Pleasant Hill,129
Stone,State Auditor,,Shad White,Republican,Pleasant Hill,141
Stone,State Treasurer,,Addie Lee Green,Democrat,Pleasant Hill,15
Stone,State Treasurer,,David McRae,Republican,Pleasant Hill,138
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Pleasant Hill,17
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Pleasant Hill,134
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,Pleasant Hill,15
Stone,Commissioner of Insurance,,Mike Chaney,Republican,Pleasant Hill,135
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,Pleasant Hill,123
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Pleasant Hill,28
Stone,Transportation Commissioner,Southern,Tom King,Republican,Pleasant Hill,145
Stone,District Attorney,2,Joel Smith,Republican,Pleasant Hill,143
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Pleasant Hill,145
Stone,State House,93,Tommy Ladner,Republican,Pleasant Hill,
Stone,State House,107,Doug McLeod,Republican,Pleasant Hill,136
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Pleasant Hill,143
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Pleasant Hill,81
Stone,Circuit Clerk,,Billy Allen,Independent,Pleasant Hill,72
Stone,Coroner,,Wayne Flurry,Republican,Pleasant Hill,145
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Pleasant Hill,140
Stone,Sheriff,,Mike Farmer,Republican,Pleasant Hill,142
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Pleasant Hill,148
Stone,Supervisor,1,Clark Byrd,Republican,Pleasant Hill,
Stone,Supervisor,2,Andy Blanchard,Democrat,Pleasant Hill,
Stone,Supervisor,2,James Snowden,Republican,Pleasant Hill,
Stone,Supervisor,2,Daniel E Harris,Independent,Pleasant Hill,
Stone,Supervisor,3,Lance Peterson,Republican,Pleasant Hill,
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Pleasant Hill,
Stone,Supervisor,4,Clark Bond,Republican,Pleasant Hill,
Stone,Supervisor,5,Nathan Joel Bond,Republican,Pleasant Hill,146
Stone,Justice Court Judge East,,Justin Miles,Republican,Pleasant Hill,141
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Pleasant Hill,
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Pleasant Hill,145
Stone,Constable West,,Mike Allen,Republican,Pleasant Hill,
Stone,Constable West,,Brandon Reid,Independent,Pleasant Hill,
Stone,Governor,,Jim Hood,Democrat,Total,1530
Stone,Governor,,Tate Reeves,Repubilcan,Total,3628
Stone,Governor,,Bob Hickingbottom,Constitution,Total,24
Stone,Governor,,David R. Singletary,Independent,Total,65
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,Total,3870
Stone,Lieutenant Governor,,Jay Hugues,Democrat,Total,1311
Stone,Secretary of State,,Johny DuPree,Republican,Total,1257
Stone,Secretary of State,,Michael Watson,Democrat,Total,3897
Stone,Attorney General,,Jennifer Riley Collins,Democrat,Total,1392
Stone,Attorney General,,Lynn Fitch,Republican,Total,3810
Stone,State Auditor,,Shad White,Republican,Total,4349
Stone,State Treasurer,,Addie Lee Green,Democrat,Total,1160
Stone,State Treasurer,,David McRae,Republican,Total,3989
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Total,1263
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Total,3878
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,Total,1166
Stone,Commissioner of Insurance,,Mike Chaney,Republican,Total,3998
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,Total,3665
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Total,1490
Stone,Transportation Commissioner,Southern,Tom King,Republican,Total,4445
Stone,District Attorney,2,Joel Smith,Republican,Total,4399
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Total,4400
Stone,State House,93,Tommy Ladner,Republican,Total,1757
Stone,State House,107,Doug McLeod,Republican,Total,2525
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Total,4478
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Total,3488
Stone,Circuit Clerk,,Billy Allen,Independent,Total,1661
Stone,Coroner,,Wayne Flurry,Republican,Total,4435
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Total,4362
Stone,Sheriff,,Mike Farmer,Republican,Total,4535
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Total,4556
Stone,Supervisor,1,Clark Byrd,Republican,Total,849
Stone,Supervisor,2,Andy Blanchard,Democrat,Total,207
Stone,Supervisor,2,James Snowden,Republican,Total,222
Stone,Supervisor,2,Daniel E Harris,Independent,Total,587
Stone,Supervisor,3,Lance Peterson,Republican,Total,796
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Total,236
Stone,Supervisor,4,Clark Bond,Republican,Total,3921
Stone,Supervisor,5,Nathan Joel Bond,Republican,Total,1103
Stone,Justice Court Judge East,,Justin Miles,Republican,Total,2411
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Total,2040
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Total,1790
Stone,Constable West,,Mike Allen,Republican,Total,1731
Stone,Constable West,,Brandon Reid,Independent,Total,567
